type,location,line number,code
v_html,/home/jino/Documents/public/winona-marketing-nuxt3/components/Adv/HrtOverOzempic/FifthSection.vue,5,"<h3 v-html=""sectionName"" class=""text-[#19191C]""></h3>"
v_html,/home/jino/Documents/public/winona-marketing-nuxt3/components/Adv/HrtOverOzempic/FirstSection.vue,4,"<h1 v-html=""main.sectionName""></h1>"
v_html,/home/jino/Documents/public/winona-marketing-nuxt3/components/Adv/HrtOverOzempic/FourtSection.vue,5,"<h3 v-html=""sectionName2"" class=""text-[#19191C]""></h3>"
v_html,/home/jino/Documents/public/winona-marketing-nuxt3/components/Adv/HrtOverOzempic/FourtSection.vue,42,"<h3 v-html=""sectionName"" class=""text-[#19191C]""></h3>"
v_html,/home/jino/Documents/public/winona-marketing-nuxt3/components/Adv/HrtOverOzempic/ThirdSection.vue,5,"<h3 v-html=""data.sectionName"" class=""text-[#19191C]""></h3>"
v_html,/home/jino/Documents/public/winona-marketing-nuxt3/components/Adv/HrtOverOzempic/ThirdSection.vue,15,"<h4 class=""ml-2 rb-tablet-sm:ml-5 text-[#19191C]"" v-html=""list.title""></h4>"
v_html,/home/jino/Documents/public/winona-marketing-nuxt3/components/Adv/HrtOverOzempic/SecondSection.vue,17,"<h4 v-html=""list.title"" class=""text-[#19191C]""></h4>"
v_html,/home/jino/Documents/public/winona-marketing-nuxt3/components/Adv/HrtOverOzempic/SecondSection.vue,41,"<p v-html=""list?.description""></p>"
v_html,/home/jino/Documents/public/winona-marketing-nuxt3/components/Careers/InTheWild/index.vue,5,"v-html=""content.sectionName"""
v_html,/home/jino/Documents/public/winona-marketing-nuxt3/components/Testimonial/SimpleCard.vue,9,"v-html=""testimonialText"""
v_html,/home/jino/Documents/public/winona-marketing-nuxt3/components/Holidays/textSlider.vue,20,"<div class=""w-full text-left standard-paragraph"" :class=""enable4kDisplay ? ' desktop4kHD:text-[36px] desktop4kHD:leading-[40px]' : ''"" v-html=""i.text""></div>"
v_html,/home/jino/Documents/public/winona-marketing-nuxt3/components/Retargetting/TextSlider.vue,19,"<p class=""w-full text-left standard-paragraph"" v-html=""i.text""></p>"
v_html,/home/jino/Documents/public/winona-marketing-nuxt3/components/AmInMenopause/LandingPage/v1.vue,33,"<span v-html=""item.text""></span>"
v_html,/home/jino/Documents/public/winona-marketing-nuxt3/components/Layout/TextSlider.vue,19,"<p class=""w-full text-left standard-paragraph"" v-html=""i.text""></p>"
v_html,/home/jino/Documents/public/winona-marketing-nuxt3/components/Layout/ParagraphWithImageRenderer.vue,2,"<div v-html=""richtextToHTML(content)"" class=""paragraph-richtext-content overflow-y-hidden"" :class=""customClass""></div>"
v_html,/home/jino/Documents/public/winona-marketing-nuxt3/components/Layout/ParagraphStateTextRenderer.vue,2,"<div v-html=""richtextToHTML(content)"" class=""paragraph-richtext-content overflow-y-hidden"" :class=""customClass""></div>"
v_html,/home/jino/Documents/public/winona-marketing-nuxt3/components/Layout/ParagraphRichtextRenderer.vue,2,"<div v-html=""richtextToHTML(content)"" class=""paragraph-richtext-content overflow-y-hidden"" :class=""[customClass, { nds: useNds }]""></div>"
v_html,/home/jino/Documents/public/winona-marketing-nuxt3/components/Layout/VisitCarousel/card.vue,27,"<div class=""label"" v-html=""cardLabel""></div>"
